epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,168.966,1.13613,1.2356,1.34012,0.60861,0.43506,0.47033,0.25596,1.75102,2.48167,2.27666,0.000822003,0.000822003,0.000822003
43,173.033,1.07633,1.10136,1.26712,0.60861,0.43506,0.47033,0.25596,1.75102,2.48167,2.27666,0.000827782,0.000827782,0.000827782
44,176.977,1.12293,1.09603,1.24229,0.19528,0.31111,0.1767,0.09961,2.37713,2.75621,2.9934,0.000832902,0.000832902,0.000832902
45,181.287,1.16946,1.24525,1.39314,0.19528,0.31111,0.1767,0.09961,2.37713,2.75621,2.9934,0.000837361,0.000837361,0.000837361
46,186.968,1.08067,1.18595,1.26832,0.22936,0.25541,0.16034,0.05806,2.7163,2.82898,3.14533,0.00084116,0.00084116,0.00084116
47,191.165,1.13685,1.22818,1.28046,0.22936,0.25541,0.16034,0.05806,2.7163,2.82898,3.14533,0.000844299,0.000844299,0.000844299
48,196.963,1.12094,1.15665,1.28915,0.28896,0.46667,0.23023,0.08133,2.48551,2.72372,2.76309,0.000846778,0.000846778,0.000846778
49,201.108,1.08234,1.12655,1.2477,0.28896,0.46667,0.23023,0.08133,2.48551,2.72372,2.76309,0.000848596,0.000848596,0.000848596
50,206.436,1.18508,1.41525,1.42821,0.38022,0.43879,0.33321,0.14409,1.62811,2.55478,1.97833,0.000849755,0.000849755,0.000849755
51,210.844,0.97535,1.06658,1.17795,0.38022,0.43879,0.33321,0.14409,1.62811,2.55478,1.97833,0.000841835,0.000841835,0.000841835
52,216.005,1.00201,1.13666,1.19471,0.36461,0.53333,0.38633,0.19124,1.54392,2.30592,2.02063,0.000825332,0.000825332,0.000825332
53,220.611,0.98549,1.12339,1.24439,0.36461,0.53333,0.38633,0.19124,1.54392,2.30592,2.02063,0.000808828,0.000808828,0.000808828
